X,Y,CD_MUN,NM_MUN,SIGLA,AREA_KM2,Densidade,Popmunicip,Popmunic_1,Popmunic_2,Popmunic_3,Popmunic_4,icon_url
-44.3527530978805,-22.9865513955368,"3300100",Angra dos Reis,RJ,813.419999999999959,"183",RJ,"33","00100",Angra dos Reis,"148476",./0.png
-42.1346655554104,-21.6522919676055,"3300159",AperibÃ©,RJ,94.542000000000002,"93",RJ,"33","00159",AperibÃ©,"8820",./1.png
-42.2929093855005,-22.7553470679123,"3300209",Araruama,RJ,638.275999999999954,"154",RJ,"33","00209",Araruama,"98268",./0.png
-43.1215380412388,-22.2353994555888,"3300225",Areal,RJ,110.724000000000004,"99",RJ,"33","00225",Areal,"11009",./1.png
-41.9495507350472,-22.776208763987,"3300233",ArmaÃ§Ã£o dos BÃºzios,RJ,70.977000000000004,"346",RJ,"33","00233",ArmaÃ§Ã£o dos BÃºzios,"24560",./1.png
-42.160006451978,-22.9250011444016,"3300258",Arraial do Cabo,RJ,152.105999999999995,"166",RJ,"33","00258",Arraial do Cabo,"25248",./1.png
-43.9129587011117,-22.4256619838165,"3300308",Barra do PiraÃ­,RJ,584.610000000000014,"165",RJ,"33","00308",Barra do PiraÃ­,"96282",./0.png
-44.1883062568535,-22.5057827819772,"3300407",Barra Mansa,RJ,547.133000000000038,"320",RJ,"33","00407",Barra Mansa *,"175315",./0.png
-43.3775652569216,-22.7287284888299,"3300456",Belford Roxo,RJ,78.984999999999999,"6084",RJ,"33","00456",Belford Roxo *,"480555",./2.png
-42.3717262919212,-22.1997480943538,"3300506",Bom Jardim,RJ,382.430000000000007,"64",RJ,"33","00506",Bom Jardim,"24626",./1.png
-41.6832007568638,-21.1234625345859,"3300605",Bom Jesus do Itabapoana,RJ,596.658999999999992,"57",RJ,"33","00605",Bom Jesus do Itabapoana,"33888",./1.png
-42.0569734755312,-22.71181655229,"3300704",Cabo Frio,RJ,413.449000000000012,"392",RJ,"33","00704",Cabo Frio,"162229",./0.png
-42.7284108045596,-22.5161206258838,"3300803",Cachoeiras de Macacu,RJ,954.749000000000024,"56",RJ,"33","00803",Cachoeiras de Macacu,"53037",./1.png
-41.9146518913571,-21.4969171438962,"3300902",Cambuci,RJ,558.280999999999949,"26",RJ,"33","00902",Cambuci,"14368",./1.png
-41.6509036679524,-22.1959529650986,"3300936",Carapebus,RJ,304.884999999999991,"35",RJ,"33","00936",Carapebus,"10677",./1.png
-43.2557398243064,-22.0437710218127,"3300951",Comendador Levy Gasparian,RJ,108.638999999999996,"77",RJ,"33","00951",Comendador Levy Gasparian,"8322",./1.png
-41.4040921610018,-21.7476613040546,"3301009",Campos dos Goytacazes,RJ,4032.487000000000080,"106",RJ,"33","01009",Campos dos Goytacazes *,"426154",./2.png
